Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
!T.O.O.H.!,Czechia,,"experimental, technical death metal",,,,,https://www.metalunderground.com/bands/country/Czech-Republic/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Czech-Republic/,2026-09-23,Czechia,"experimental, technical death metal",,Low,no decisive current signal
21 Octayne,Germany,,"hard rock, metal",,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,"hard rock, metal",,Low,no decisive current signal
30zeta,,,,,https://www.facebook.com/30zeta,,,https://www.facebook.com/30zeta,,2026-09-22,,,,,,,REVIEW,"Audit error: TypeError: can only concatenate str (not ""NoneType"") to str",https://www.facebook.com/30zeta,2026-09-23,,,,Low,audit exception
3Winyle,,Ostrowiec Świętokrzyski / online,,marcin.skarba@radioostrowiec.pl,,https://www.facebook.com/3Winyle666/,,https://www.facebook.com/3Winyle666/,,2026-09-22,,,,,,"16.09 Marcin potwierdził: 'Wchodzimy w patronat', przesłał logo, poprosił o WAV/MP3 i później o plakat. Rise wysłany jako plik/link.",REVIEW,"Audit error: TypeError: can only concatenate str (not ""NoneType"") to str",https://www.facebook.com/3Winyle666/,2026-09-23,,,,Low,audit exception
71TonMan,,,,,,,,https://www.metalunderground.com/bands/country/Poland/,,2026-09-22,,,,,,Directory snapshot; refresh with social/contact research.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Poland/,2026-09-23,Poland,,,Low,no decisive current signal
8kids,Germany,,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
9MM,Germany,,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,KEEP,Current band identity/activity evidence found,https://www.gunmade.com/best-9mm-pistols/,2026-09-23,Germany,,Active,Medium,current 2025/2026 search
A Cosmic Trail,Germany,,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
A Life Divided,Germany,Munich,"alternative, modern metal",,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,"alternative, modern metal",,Low,no decisive current signal
A Million Miles,Germany,Hamburg,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
A Secret Revealed,Germany,,metalcore,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,metalcore,,Low,no decisive current signal
A Thin Red Line,Germany,,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
A Traitor Like Judas,Germany,Braunschweig,metalcore,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,metalcore,,Low,no decisive current signal
A.W.A.S.,Germany,Bonn,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
ADHD,,,,,https://www.facebook.com/profile.php?id=61581845823956,,,https://www.facebook.com/profile.php?id=61581845823956,,2026-09-22,,,,,,,REVIEW,"Audit error: TypeError: can only concatenate str (not ""NoneType"") to str",https://www.facebook.com/profile.php?id=61581845823956,2026-09-23,,,,Low,audit exception
ARTyści,,,,,https://www.youtube.com/channel/UCtSJfIPDr_rACx8k0aPYCwg,,,https://www.youtube.com/channel/UCtSJfIPDr_rACx8k0aPYCwg,,2026-09-22,,,,,,,REVIEW,"Audit error: TypeError: can only concatenate str (not ""NoneType"") to str",https://www.youtube.com/channel/UCtSJfIPDr_rACx8k0aPYCwg,2026-09-23,,,,Low,audit exception
Abandoned,Germany,Darmstadt,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,KEEP,Current band identity/activity evidence found,https://www.theguardian.com/tv-and-radio/2026/jul/03/abandoned-review-disney,2026-09-23,Germany,,Active,Medium,current 2025/2026 search
Abhorrent Castigation,Germany,,,,,,,https://www.metalunderground.com/bands/country/Germany/,Active — Metal Underground snapshot,2026-09-22,Active,Medium,,,Contact page/source needed,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metalunderground.com/bands/country/Germany/,2026-09-23,Germany,,,Low,no decisive current signal
